Req_ID,Subsystem,Requirement,Priority,Target_or_Limit,Verification_Method,Design_Artifact,Test_Artifact,Status,Owner,Notes
PRC-0001,Program,"Execute one bounded chunk with recorded scope, acceptance, verification and state before the next chunk.",MUST,Every chunk,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0002,Program,"Commit all meaningful sources, models, testbenches and essential reproducibility evidence to Git.",MUST,Every completed chunk,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0003,Program,Identify and record unvalidated numerical targets and assumptions rather than inventing PDK/IP values.,MUST,Every requirement review,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0004,Program,Complete and commit a recent source-grounded literature survey before choosing any block architecture or implementation.,MUST,Before design of each new/materially changed block,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0005,Program,Extract normalized measured literature benchmarks separately from simulations and vendor typical values.,MUST,Each literature survey,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0006,Program,Link each literature finding to an implication and design decision with relevant requirement IDs.,MUST,Each literature survey,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0007,Program,Document a quantitative before/after area and power comparison and prove hard constraints remain satisfied for substantial optimizations.,MUST,Each substantial change,Analysis+inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0008,Program,"Record nontrivial architecture choices with alternatives, evidence, risk and revisit trigger in an ADR.",MUST,Each decision,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0009,Program,Maintain stable requirement IDs and bidirectional paths to design and verification evidence.,MUST,Every frozen requirement,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0010,Program,Do not claim that an unverified target or generated layout is tapeout-ready.,MUST,Every release,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0011,Program,"Do not bypass a failed review gate without a documented, approved waiver.",MUST,Every failed gate,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0012,Program,Re-survey a block when architecture/process/requirements materially change or the pre-tapeout review is older than twelve months.,MUST,Trigger event,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
PRC-0013,Program,"Reproduce results with inputs, scripts, tool versions, corners, random seeds and checksums as relevant.",MUST,Every evidence artifact,Inspection,docs/chunks/,reports/chunk/,PROCESS_ACTIVE,Systems engineering,"source=MASTER_SPEC.md §0,38–52,55,59–61; issue=none"
